prop,seed,split,inst,blind,ue,gnn,recovered
GCN,0,in-dist,0,86.5073329860334,34.26143287590632,35.847625390919525,0.9696398662541993
GCN,0,in-dist,1,85.35063257704388,36.049819105741435,37.88713438108785,0.9627325566054625
GCN,0,in-dist,2,83.16531440619187,36.936775873246575,38.210284139719356,0.9724519029394537
GCN,0,in-dist,3,82.8694983076943,36.2940032571061,37.4982885521226,0.9741433710214252
GCN,0,ood-largeshell,0,1801.954396545053,108.55950651517183,196.17644918255655,0.9482595919101665
GCN,0,ood-largeshell,1,2604.847641608839,110.76139463330851,241.80518448245394,0.9474581963602676
GCN,0,ood-largeshell,2,1579.382675006841,108.30643366488219,226.60801056935875,0.9195816140728651
GCN,0,ood-largeshell,3,1630.996701752508,105.23560806493954,207.54214991417462,0.9329472076116626
Heat,0,in-dist,0,86.5073329860334,34.26143287590632,35.763437877550786,0.9712512369682894
Heat,0,in-dist,1,85.35063257704388,36.049819105741435,37.78097681590683,0.9648858185438849
Heat,0,in-dist,2,83.16531440619187,36.936775873246575,38.03597957963812,0.9762223998146039
Heat,0,in-dist,3,82.8694983076943,36.2940032571061,37.36542168107485,0.9769960915540452
Heat,0,ood-largeshell,0,1801.954396545053,108.55950651517183,200.8695272386281,0.9454881898682076
Heat,0,ood-largeshell,1,2604.847641608839,110.76139463330851,244.16617276206722,0.946511561783185
Heat,0,ood-largeshell,2,1579.382675006841,108.30643366488219,217.70950209605445,0.9256305925168287
Heat,0,ood-largeshell,3,1630.996701752508,105.23560806493954,221.59859940582555,0.9237344615599997
QW,0,in-dist,0,86.5073329860334,34.26143287590632,36.61385117634343,0.9549741071456604
QW,0,in-dist,1,85.35063257704388,36.049819105741435,38.77920858378664,0.9446380437589745
QW,0,in-dist,2,83.16531440619187,36.936775873246575,38.44598837885345,0.9673532291199014
QW,0,in-dist,3,82.8694983076943,36.2940032571061,40.447836785285446,0.9108150428961057
QW,0,ood-largeshell,0,1801.954396545053,108.55950651517183,167.76760770550052,0.9650358569410328
QW,0,ood-largeshell,1,2604.847641608839,110.76139463330851,199.50995209938523,0.9644164039741214
QW,0,ood-largeshell,2,1579.382675006841,108.30643366488219,176.59329831440695,0.9535803361304841
QW,0,ood-largeshell,3,1630.996701752508,105.23560806493954,167.2496228103563,0.9593553571381632
GCN,1,in-dist,0,94.05154983375954,39.274521286302786,42.003284816229524,0.9501841629185372
GCN,1,in-dist,1,75.74770820809829,36.54490906910878,37.105313405861075,0.9857049917592507
GCN,1,in-dist,2,78.97703064658081,34.36214518317828,34.66404744344946,0.9932331494940442
GCN,1,in-dist,3,73.15169087765548,34.221128470898734,35.08659201344517,0.9777690459874726
GCN,1,ood-largeshell,0,1923.6878196393977,110.38160136999234,223.9405904610867,0.9373746210392012
GCN,1,ood-largeshell,1,2538.1731085067845,110.00544507682255,238.90271715257737,0.9469158270999796
GCN,1,ood-largeshell,2,2798.1282869065853,117.7455030663386,299.6058513290368,0.9321513519042446
GCN,1,ood-largeshell,3,2370.6767122671395,109.73434264368998,253.08378665034002,0.9365974799125356
Heat,1,in-dist,0,94.05154983375954,39.274521286302786,41.930505772865914,0.9515128046008906
Heat,1,in-dist,1,75.74770820809829,36.54490906910878,37.752002965402056,0.9692089870416231
Heat,1,in-dist,2,78.97703064658081,34.36214518317828,34.68006112354395,0.9928742181658976
Heat,1,in-dist,3,73.15169087765548,34.221128470898734,36.01466768218427,0.9539297893375861
Heat,1,ood-largeshell,0,1923.6878196393977,110.38160136999234,269.183697700517,0.9124240049857198
Heat,1,ood-largeshell,1,2538.1731085067845,110.00544507682255,309.7247123199936,0.9177489799196761
Heat,1,ood-largeshell,2,2798.1282869065853,117.7455030663386,398.9918531028867,0.8950723188746945
Heat,1,ood-largeshell,3,2370.6767122671395,109.73434264368998,376.39812349185104,0.8820563564861794
QW,1,in-dist,0,94.05154983375954,39.274521286302786,46.1772672403831,0.8739846585854865
QW,1,in-dist,1,75.74770820809829,36.54490906910878,39.77656975999918,0.9175655626162593
QW,1,in-dist,2,78.97703064658081,34.36214518317828,35.037528961809564,0.9848619183571523
QW,1,in-dist,3,73.15169087765548,34.221128470898734,38.34232270525277,0.8941398741868993
QW,1,ood-largeshell,0,1923.6878196393977,110.38160136999234,408.1042280934987,0.8358122727844342
QW,1,ood-largeshell,1,2538.1731085067845,110.00544507682255,481.0725400508107,0.8471822598733445
QW,1,ood-largeshell,2,2798.1282869065853,117.7455030663386,653.4352893268083,0.8001442967437008
QW,1,ood-largeshell,3,2370.6767122671395,109.73434264368998,503.7355749126514,0.8257358358344266
GCN,2,in-dist,0,74.44975688765689,33.85898255315473,34.90067627484943,0.9743366876150165
GCN,2,in-dist,1,99.84592034995008,37.21352115391751,39.17857575950101,0.9686255894583714
GCN,2,in-dist,2,76.0428923176035,34.13177028193785,37.18856059567605,0.9270649372942836
GCN,2,in-dist,3,102.7875632745541,35.639780590975974,37.79892045953037,0.9678449565679783
GCN,2,ood-largeshell,0,2843.918087921925,116.99090743364819,276.4554889513619,0.9415222442833401
GCN,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,191.2791771796422,0.951642535205695
GCN,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,223.58778076236288,0.9490152456743663
GCN,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,222.44881618140863,0.9343601495709909
Heat,2,in-dist,0,74.44975688765689,33.85898255315473,34.90717380185653,0.9741766136298899
Heat,2,in-dist,1,99.84592034995008,37.21352115391751,38.92015089149229,0.972751646759799
Heat,2,in-dist,2,76.0428923176035,34.13177028193785,36.935161350079994,0.9331110470925472
Heat,2,in-dist,3,102.7875632745541,35.639780590975974,37.19644197345115,0.9768173821939786
Heat,2,ood-largeshell,0,2843.918087921925,116.99090743364819,331.42772902861225,0.9213632020945395
Heat,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,218.60468769480866,0.9361150010272745
Heat,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,274.867585197744,0.9255954731928181
Heat,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,251.65282262811576,0.917366282392745
QW,2,in-dist,0,74.44975688765689,33.85898255315473,34.71934826848624,0.9788039097692157
QW,2,in-dist,1,99.84592034995008,37.21352115391751,38.591125610874336,0.9780049227773461
QW,2,in-dist,2,76.0428923176035,34.13177028193785,38.58299555165778,0.8937936983426018
QW,2,in-dist,3,102.7875632745541,35.639780590975974,37.658842127862904,0.9699310765568924
QW,2,ood-largeshell,0,2843.918087921925,116.99090743364819,350.6874405289766,0.9143004130189194
QW,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,223.10597383036838,0.9335571760132474
QW,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,328.3655305067648,0.901162663411993
QW,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,299.70308994511686,0.8894057399872218
